Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,CPA,Mis,Dis,Rec,PrgR,Season
840,Hamed Junior Traorè,CIV,"FW,MF",Bournemouth,22,2000,4.70,246,2,29,109,116,11,246,25,16,64.00,8,32.00,143,881,437,19,13,1,15,13,142,2023
841,James Justin,ENG,DF,Leicester City,24,1998,13.90,980,48,296,475,216,8,980,19,4,21.10,11,57.90,417,1831,834,20,19,4,15,6,574,2023
842,Mathias Jørgensen,DEN,DF,Brentford,32,1990,12.30,612,87,291,281,42,12,612,1,0,0.00,1,100.00,295,1062,616,1,2,0,3,1,321,2023
843,Sasa Kalajdzic,AUT,FW,Wolves,25,1997,0.50,7,0,2,1,4,2,7,0,0,,0,,2,6,3,0,0,0,1,0,5,2023
844,Boubacar Kamara,FRA,MF,Aston Villa,22,1999,19.70,1145,65,362,662,132,10,1145,35,16,45.70,12,34.30,622,2571,1173,16,11,1,20,14,713,2023
845,Harry Kane,ENG,FW,Tottenham,29,1993,37.80,1328,28,106,646,599,167,1322,108,40,37.00,53,49.10,834,4546,1842,60,50,21,74,58,1031,2023
846,N'Golo Kanté,FRA,MF,Chelsea,31,1991,5.80,404,11,53,195,163,16,404,18,12,66.70,4,22.20,230,1408,800,19,15,2,13,5,279,2023
847,Michael Keane,ENG,DF,Everton,29,1993,10.90,565,83,275,239,55,24,565,7,4,57.10,2,28.60,257,1282,719,2,2,0,6,2,275,2023
848,Neeskens Kebano,COD,FW,Fulham,30,1992,8.50,321,10,49,92,188,30,321,30,11,36.70,13,43.30,200,1502,841,39,14,11,16,12,216,2023
849,Thilo Kehrer,GER,DF,West Ham,25,1996,24.80,1335,135,600,595,147,17,1335,11,8,72.70,3,27.30,677,2885,1533,15,12,1,17,6,760,2023
850,Naby Keïta,GUI,MF,Liverpool,27,1995,3.30,206,5,34,114,59,11,206,4,3,75.00,0,0.00,111,536,220,5,6,0,12,7,140,2023
851,Caoimhín Kelleher,IRL,GK,Liverpool,23,1998,1.00,26,18,26,0,0,0,26,0,0,,0,,18,89,62,0,0,0,0,0,13,2023
852,Lloyd Kelly,ENG,DF,Bournemouth,23,1998,22.70,1394,185,752,526,124,9,1394,7,1,14.30,5,71.40,705,3316,1879,14,4,0,16,4,806,2023
853,Max Kilman,ENG,DF,Wolves,25,1997,36.70,2470,432,1460,952,75,26,2470,25,19,76.00,6,24.00,1443,7679,4615,30,15,2,15,9,1699,2023
854,Jakub Kiwior,POL,DF,Arsenal,22,2000,4.70,248,31,124,103,22,3,248,1,1,100.00,0,0.00,141,530,171,0,3,0,0,0,148,2023
855,Mateusz Klich,POL,"MF,FW",Leeds United,32,1990,3.10,189,3,25,82,85,9,189,6,2,33.30,4,66.70,110,385,149,5,5,2,11,1,124,2023
856,Robin Koch,GER,DF,Leeds United,26,1996,35.30,1963,263,1051,820,106,32,1963,3,1,33.30,2,66.70,1013,4700,2583,11,8,0,15,1,1102,2023
857,Ibrahima Konaté,FRA,DF,Liverpool,23,1999,17.20,1317,107,589,691,43,22,1317,14,10,71.40,2,14.30,830,3628,1871,7,7,0,12,4,918,2023
858,Ezri Konsa,ENG,DF,Aston Villa,24,1997,36.90,2192,349,1280,850,70,22,2192,15,5,33.30,3,20.00,1375,6226,3596,7,9,0,15,5,1533,2023
859,Kalidou Koulibaly,SEN,DF,Chelsea,31,1991,20.00,1687,174,793,838,63,19,1687,6,4,66.70,2,33.30,1083,4728,2459,10,8,0,10,2,1209,2023
860,Cheikhou Kouyaté,SEN,MF,Nott'ham Forest,32,1989,9.80,363,39,136,166,64,14,363,10,7,70.00,1,10.00,160,725,304,7,4,3,15,9,175,2023
861,Mateo Kova?i?,CRO,MF,Chelsea,28,1994,19.00,1492,31,279,938,289,12,1492,34,19,55.90,10,29.40,1010,5517,2591,37,39,2,26,26,1144,2023
862,Emil Krafth,SWE,DF,Newcastle Utd,27,1994,0.00,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,2023
863,Rasmus Kristensen,DEN,DF,Leeds United,25,1997,21.80,1276,90,470,529,282,23,1276,15,7,46.70,7,46.70,547,1722,833,15,10,4,6,5,633,2023
864,Dejan Kulusevski,SWE,"MF,FW",Tottenham,22,2000,23.00,1048,26,156,394,528,107,1048,112,52,46.40,52,46.40,677,4905,2513,87,46,48,78,52,711,2023
865,Layvin Kurzawa,FRA,DF,Fulham,29,1992,1.50,64,8,35,18,11,0,64,4,2,50.00,2,50.00,29,100,20,1,0,0,3,1,24,2023
866,Adam Lallana,ENG,"MF,FW",Brighton,34,1988,8.00,373,6,43,180,151,33,373,6,3,50.00,3,50.00,206,839,420,10,4,4,15,11,295,2023
867,Tariq Lamptey,GHA,DF,Brighton,21,2000,5.00,376,15,80,138,161,17,376,28,8,28.60,13,46.40,232,1451,808,28,12,7,16,2,256,2023
868,Manuel Lanzini,ARG,"MF,FW",West Ham,29,1993,2.80,192,3,32,111,50,3,192,3,1,33.30,0,0.00,116,524,203,2,6,0,2,3,150,2023
869,Aymeric Laporte,ESP,DF,Manchester City,28,1994,11.00,1036,85,335,538,166,13,1036,4,2,50.00,1,25.00,702,4015,2882,30,44,0,3,0,806,2023
870,Juan Larios,ESP,DF,Southampton,18,2004,1.70,106,10,32,55,20,2,106,4,3,75.00,1,25.00,38,338,201,10,2,1,3,2,47,2023
871,Jamaal Lascelles,ENG,DF,Newcastle Utd,28,1993,2.40,118,27,68,47,4,4,118,0,0,,0,,64,269,103,0,0,0,0,0,75,2023
872,Roméo Lavia,BEL,MF,Southampton,18,2004,24.70,1288,58,298,828,177,1,1288,50,28,56.00,13,26.00,804,4275,1903,22,21,0,24,31,794,2023
873,Dexter Lembikisa,JAM,DF,Wolves,18,2003,0.30,13,0,3,7,3,0,13,0,0,,0,,7,29,21,2,0,0,0,0,8,2023
874,Mario Lemina,GAB,MF,Wolves,28,1993,14.40,794,67,292,430,81,4,794,18,11,61.10,3,16.70,414,1924,949,6,6,0,13,8,521,2023
875,Clément Lenglet,FRA,DF,Tottenham,27,1995,22.40,1666,178,805,761,107,17,1666,12,7,58.30,4,33.30,1142,5666,3561,33,27,1,12,8,1256,2023
876,Bernd Leno,GER,GK,Fulham,30,1992,36.00,1499,1188,1492,7,0,0,1499,0,0,,0,,857,4060,2355,0,0,0,1,0,752,2023
877,Jefferson Lerma,COL,MF,Bournemouth,27,1994,36.10,1934,165,587,1030,338,44,1934,24,14,58.30,9,37.50,947,3764,1861,22,32,1,24,17,1162,2023
878,Jamal Lewis,NIR,"DF,FW",Newcastle Utd,24,1998,0.10,15,0,6,4,5,2,15,0,0,,0,,10,40,10,0,1,0,0,0,13,2023
879,Rico Lewis,ENG,"DF,MF",Manchester City,17,2004,10.00,742,26,133,416,199,12,742,14,8,57.10,3,21.40,511,2555,1390,22,24,3,7,13,593,2023
880,Keane Lewis-Potter,ENG,"FW,MF",Brentford,21,2001,3.60,138,4,24,48,69,18,138,14,4,28.60,10,71.40,93,652,336,8,6,3,11,8,91,2023
881,Victor Lindelöf,SWE,DF,Manchester Utd,28,1994,15.20,1074,145,550,491,35,5,1074,3,2,66.70,1,33.30,652,3094,1529,3,4,0,1,2,739,2023
882,Jesse Lingard,ENG,"FW,MF",Nott'ham Forest,29,1992,10.30,371,7,44,202,132,16,371,10,6,60.00,4,40.00,214,1003,527,11,12,0,16,10,263,2023
883,Valentino Livramento,ENG,"DF,FW",Southampton,19,2002,0.30,37,5,19,16,3,0,37,3,2,66.70,0,0.00,10,48,17,0,0,0,1,0,16,2023
884,Diego Llorente,ESP,DF,Leeds United,28,1993,7.20,506,59,283,210,15,6,506,3,2,66.70,1,33.30,303,1566,721,2,1,0,6,1,312,2023
885,Hugo Lloris,FRA,GK,Tottenham,35,1986,24.50,794,723,792,2,0,0,794,0,0,,0,,430,2401,1498,0,0,0,2,0,353,2023
886,Renan Lodi,BRA,DF,Nott'ham Forest,24,1998,24.60,1143,96,478,418,263,21,1143,39,16,41.00,14,35.90,546,2834,1379,24,15,2,18,13,535,2023
887,Ruben Loftus-Cheek,ENG,"MF,DF",Chelsea,26,1996,17.10,1068,40,185,576,322,42,1068,60,30,50.00,22,36.70,651,3753,2210,56,29,10,22,23,774,2023
888,Sean Longstaff,ENG,MF,Newcastle Utd,24,1997,28.00,1433,45,278,742,420,76,1433,27,8,29.60,18,66.70,752,2989,1191,21,16,8,37,29,951,2023
889,Jamal Lowe,JAM,"MF,FW",Bournemouth,28,1994,0.10,4,0,0,3,1,0,4,0,0,,0,,2,7,1,0,0,0,0,0,3,2023
890,Douglas Luiz,BRA,MF,Aston Villa,24,1998,32.50,2117,75,534,1161,442,19,2116,44,24,54.50,14,31.80,1142,6289,2913,48,39,4,36,33,1326,2023
891,Saša Luki?,SRB,MF,Fulham,25,1996,4.60,253,9,49,155,52,3,253,5,4,80.00,1,20.00,146,875,413,8,7,1,3,1,171,2023
892,Lyanco,BRA,DF,Southampton,25,1997,13.10,720,123,368,297,64,12,720,11,8,72.70,2,18.20,368,1892,1034,13,8,1,11,4,353,2023
893,Alexis Mac Allister,ARG,MF,Brighton,23,1998,32.10,2182,48,367,1194,644,63,2176,72,42,58.30,21,29.20,1319,6135,3072,69,74,8,47,36,1644,2023
894,James Maddison,ENG,"MF,FW",Leicester City,25,1996,27.60,1447,17,160,647,655,103,1445,107,46,43.00,39,36.40,964,5653,2671,77,44,31,45,31,1075,2023
895,Noni Madueke,ENG,FW,Chelsea,20,2002,7.10,405,11,45,133,233,62,405,63,33,52.40,24,38.10,278,2090,1203,48,21,26,17,13,315,2023
896,Gabriel Magalhães,BRA,DF,Arsenal,24,1997,37.90,2776,307,1153,1419,215,53,2776,3,2,66.70,0,0.00,1745,8755,5467,18,43,3,19,4,1933,2023
897,Harry Maguire,ENG,DF,Manchester Utd,29,1993,8.50,672,77,353,291,32,9,672,3,2,66.70,1,33.30,414,2286,1449,8,6,1,1,0,448,2023
898,Riyad Mahrez,ALG,"FW,MF",Manchester City,31,1991,21.30,1392,14,105,494,802,110,1391,73,25,34.20,27,37.00,934,5159,2361,78,47,45,35,27,1042,2023
899,Kobbie Mainoo,ENG,MF,Manchester Utd,17,2005,0.10,11,0,2,4,5,3,11,1,0,0.00,1,100.00,5,64,48,2,0,0,0,0,6,2023
900,Ainsley Maitland-Niles,ENG,"DF,MF",Southampton,24,1997,15.60,912,73,328,440,155,7,912,22,17,77.30,5,22.70,407,2036,885,15,13,2,26,13,509,2023
901,Tyrell Malacia,NED,DF,Manchester Utd,22,1999,15.50,989,54,378,392,225,16,989,19,6,31.60,13,68.40,472,2127,1023,19,17,3,17,8,557,2023
902,Orel Mangala,BEL,MF,Nott'ham Forest,24,1998,17.20,655,31,183,380,99,8,655,34,16,47.10,12,35.30,334,1742,808,14,6,2,11,9,383,2023
903,Javier Manquillo,ESP,DF,Newcastle Utd,28,1994,0.40,36,2,11,16,9,1,36,0,0,,0,,20,82,38,2,0,0,0,0,20,2023
904,Sekou Mara,FRA,"FW,MF",Southampton,20,2002,6.20,221,5,27,99,103,26,221,29,13,44.80,16,55.20,129,727,288,7,9,2,28,18,151,2023
905,Solly March,ENG,"FW,DF",Brighton,28,1994,30.20,1659,46,191,521,962,138,1659,114,58,50.90,35,30.70,1024,6810,3074,110,48,47,55,32,1124,2023
906,Emiliano Marcondes,DEN,MF,Bournemouth,27,1995,0.10,3,1,1,2,0,0,3,1,0,0.00,0,0.00,2,11,7,0,0,0,0,0,2,2023
907,Marquinhos,BRA,MF,Arsenal,19,2003,0.00,3,0,0,2,1,0,3,0,0,,0,,2,6,1,0,0,0,0,0,3,2023
908,Anthony Martial,FRA,FW,Manchester Utd,26,1995,10.90,443,10,31,166,249,49,442,26,14,53.80,9,34.60,297,1296,570,18,13,8,33,20,371,2023
909,Gabriel Martinelli,BRA,FW,Arsenal,21,2001,31.00,1490,19,129,419,965,223,1490,133,60,45.10,55,41.40,1019,7180,3297,124,65,70,83,56,1115,2023
910,Emiliano Martínez,ARG,GK,Aston Villa,29,1992,34.90,1479,1218,1463,17,0,0,1479,0,0,,0,,851,4474,2627,0,0,0,2,0,707,2023
911,Lisandro Martínez,ARG,DF,Manchester Utd,24,1998,23.50,1809,281,934,829,60,11,1809,16,14,87.50,0,0.00,1061,5256,2986,12,16,0,11,9,1138,2023
912,Pape Matar Sarr,SEN,"MF,FW",Tottenham,19,2002,2.40,190,15,65,104,21,1,190,5,2,40.00,1,20.00,122,577,216,1,0,0,5,2,125,2023
913,Jean-Philippe Mateta,FRA,FW,Crystal Palace,25,1997,8.60,266,18,37,112,119,38,266,8,3,37.50,5,62.50,145,674,251,9,9,5,27,18,185,2023
914,Joël Matip,CMR,DF,Liverpool,30,1991,12.10,1004,111,482,468,62,17,1004,7,4,57.10,3,42.90,657,4140,2907,28,22,1,14,1,720,2023
915,Neal Maupay,FRA,FW,Everton,25,1996,12.40,387,1,27,172,194,49,387,19,7,36.80,12,63.20,219,864,306,8,7,3,38,16,280,2023
916,Kevin Mbabu,SUI,"DF,FW",Fulham,27,1995,1.60,114,4,38,40,38,0,114,6,4,66.70,2,33.30,57,273,159,4,2,0,1,2,59,2023
